id,conversation_id,created_at,date,time,user_id,tweet,language,hashtags,reply_to,tokenized_text,translated_tokenized_text
1635780429616943105,1635780429616943104,2023-03-15 07:10:20 Malay Peninsula Standard Time,2023-03-15,07:10:20,112815561,"I am happy to report that #ChatGPT4  @OpenAI couldn't solve a simple optimization question.  We had a lengthy ""conversation"" and eventually #ChatGPT just gave up. So we are safe for now.... :)  https://t.co/8jOp4XtHHy",en,"['chatgpt4', 'chatgpt']",[],"['I', 'am', 'happy', 'to', 'report', 'that', '#ChatGPT4', '@OpenAI', ""couldn't"", 'solve', 'a', 'simple', 'optimization', 'question', '.', 'We', 'had', 'a', 'lengthy', '""', 'conversation', '""', 'and', 'eventually', '#ChatGPT', 'just', 'gave', 'up', '.', 'So', 'we', 'are', 'safe', 'for', 'now', '...', ':)', 'https://t.co/8jOp4XtHHy']","['I', 'am', 'happy', 'to', 'report', 'that', '#ChatGPT4', '@OpenAI', ""couldn't"", 'solve', 'a', 'simple', 'optimization', 'question', '.', 'We', 'had', 'a', 'lengthy', '""', 'conversation', '""', 'and', 'eventually', '#ChatGPT', 'just', 'gave', 'up', '.', 'So', 'we', 'are', 'safe', 'for', 'now', '...', ':)', 'https://t.co/8jOp4XtHHy']"
1635780278919794689,1635780278919794688,2023-03-15 07:09:44 Malay Peninsula Standard Time,2023-03-15,07:09:44,1262326748030500871,ホンマ、言論思想統制されそ(｡-ω-) #chatgpt #nhk @nhk_nw9 #nw9：｢ChatGPT｣に浮かれる人が知らない恐ろしい未来   https://t.co/SEL88BUnaH,ja,"['chatgpt', 'nhk', 'nw9']",[],"['ホンマ', '、', '言論思想統制されそ', '(', '｡', '-', 'ω', '-', ')', '#chatgpt', '#nhk', '@nhk_nw9', '#nw9', '：', '｢', 'ChatGPT', '｣', 'に浮かれる人が知らない恐ろしい未来', 'https://t.co/SEL88BUnaH']","['Homma', '、', 'Speech and thought are controlled', '(', '｡', '-', 'oh', '-', ')', '#chatgpt', '#nhk', '@nhk_nw9', '#nw9', '：', '｢', 'ChatGPT', '｣', ""A terrible future that people don't know""]"
1635780190302289920,1635780190302289920,2023-03-15 07:09:23 Malay Peninsula Standard Time,2023-03-15,07:09:23,1613361844097544192,News Alert! //  https://t.co/SKpriY6QFc // #AI #CHATGPT #SCIFI #NEWS,en,"['ai', 'chatgpt', 'scifi', 'news']",[],"['News', 'Alert', '!', '/', '/', 'https://t.co/SKpriY6QFc', '/', '/', '#AI', '#CHATGPT', '#SCIFI', '#NEWS']","['News', 'Alert', '!', '/', '/', 'https://t.co/SKpriY6QFc', '/', '/', '#AI', '#CHATGPT', '#SCIFI', '#NEWS']"
1635780187806744576,1635780187806744576,2023-03-15 07:09:22 Malay Peninsula Standard Time,2023-03-15,07:09:22,1613361844097544192,News Alert! //  https://t.co/mco432F9JI // #AI #CHATGPT #SCIFI #NEWS,en,"['ai', 'chatgpt', 'scifi', 'news']",[],"['News', 'Alert', '!', '/', '/', 'https://t.co/mco432F9JI', '/', '/', '#AI', '#CHATGPT', '#SCIFI', '#NEWS']","['News', 'Alert', '!', '/', '/', 'https://t.co/mco432F9JI', '/', '/', '#AI', '#CHATGPT', '#SCIFI', '#NEWS']"
1635780152235032579,1635780152235032576,2023-03-15 07:09:14 Malay Peninsula Standard Time,2023-03-15,07:09:14,1462947398288769026,Better than us : Accept me for who I am cause no way I'm gonna change into who you want me to be. #aiartcommunity #ChatGPT #aiart #nftcommunity #ArtificialIntelligence #DigitalArtist #art #NFT #digitalart #AIArtwork #midjourney  https://t.co/c43hbF2VA4,en,"['aiartcommunity', 'chatgpt', 'aiart', 'nftcommunity', 'artificialintelligence', 'digitalartist', 'art', 'nft', 'digitalart', 'aiartwork', 'midjourney']",[],"['Better', 'than', 'us', ':', 'Accept', 'me', 'for', 'who', 'I', 'am', 'cause', 'no', 'way', ""I'm"", 'gonna', 'change', 'into', 'who', 'you', 'want', 'me', 'to', 'be', '.', '#aiartcommunity', '#ChatGPT', '#aiart', '#nftcommunity', '#ArtificialIntelligence', '#DigitalArtist', '#art', '#NFT', '#digitalart', '#AIArtwork', '#midjourney', 'https://t.co/c43hbF2VA4']","['Better', 'than', 'us', ':', 'Accept', 'me', 'for', 'who', 'I', 'am', 'cause', 'no', 'way', ""I'm"", 'gonna', 'change', 'into', 'who', 'you', 'want', 'me', 'to', 'be', '.', '#aiartcommunity', '#ChatGPT', '#aiart', '#nftcommunity', '#ArtificialIntelligence', '#DigitalArtist', '#art', '#NFT', '#digitalart', '#AIArtwork', '#midjourney', 'https://t.co/c43hbF2VA4']"
1635780060073586688,1635780060073586688,2023-03-15 07:08:52 Malay Peninsula Standard Time,2023-03-15,07:08:52,980373179620245504,"おはようございます！ 話題の #ChatGPT-4 がリリースされたというニュース👨‍🚀 ・回答が40%高い ・イメージをインプットすると字幕化してくれる （献立映像をもとにレシピを作成など） ・文字数が最大25,000字以上に拡張 など、使いこなせる人には 強力な情報支援ツールとなりそうです #今日の積み上げ",ja,"['chatgpt', '今日の積み上げ']",[],"['おはようございます', '！', '話題の', '#ChatGPT-4', 'がリリースされたというニュース', '👨\u200d🚀', '・', '回答が', '40', '%', '高い', '・', 'イメージをインプットすると字幕化してくれる', '（', '献立映像をもとにレシピを作成など', '）', '・', '文字数が最大', '25,000', '字以上に拡張', 'など', '、', '使いこなせる人には', '強力な情報支援ツールとなりそうです', '#今日の積み上げ']","['Good morning', '！', 'Topical', '#ChatGPT-4', 'News that has been released', '👨\u200d🚀', '・', 'If the answer is', 'Forty', '%', 'high', '・', 'When you input an image, it will be subtitled.', '（', 'Create recipes based on menu videos, etc.', '）', '・', 'Maximum number of characters', '25,000', 'Extend beyond letters', 'etc', '、', 'For those who can use it', 'It looks to be a powerful information support tool', '#今日の積み上げ']"
1635780020852383745,1635780020852383744,2023-03-15 07:08:42 Malay Peninsula Standard Time,2023-03-15,07:08:42,603539372,... a couple of jewels from our little #AI friend 😍  #ChatGPT  https://t.co/GchRF1SYiT,en,"['ai', 'chatgpt']",[],"['...', 'a', 'couple', 'of', 'jewels', 'from', 'our', 'little', '#AI', 'friend', '😍', '#ChatGPT', 'https://t.co/GchRF1SYiT']","['...', 'a', 'couple', 'of', 'jewels', 'from', 'our', 'little', '#AI', 'friend', '😍', '#ChatGPT', 'https://t.co/GchRF1SYiT']"
1635779982491365376,1635779982491365376,2023-03-15 07:08:33 Malay Peninsula Standard Time,2023-03-15,07:08:33,172675554,Let's see how prompt engineering evolves with GPT4 (vs 3.5) #ChatGPT    https://t.co/ODCfADhL1X,en,['chatgpt'],[],"[""Let's"", 'see', 'how', 'prompt', 'engineering', 'evolves', 'with', 'GPT', '4', '(', 'vs', '3.5', ')', '#ChatGPT', 'https://t.co/ODCfADhL1X']","[""Let's"", 'see', 'how', 'prompt', 'engineering', 'evolves', 'with', 'GPT', '4', '(', 'vs', '3.5', ')', '#ChatGPT', 'https://t.co/ODCfADhL1X']"
1635779978661863425,1635779978661863424,2023-03-15 07:08:32 Malay Peninsula Standard Time,2023-03-15,07:08:32,1612273523141054465,"GPT-4 is here, what a time to be alive.  #ChatGPT #GPT4 #GPT3 #AI  https://t.co/tjvTrIEUKS",en,"['chatgpt', 'gpt4', 'gpt3', 'ai']",[],"['GPT', '-', '4', 'is', 'here', ',', 'what', 'a', 'time', 'to', 'be', 'alive', '.', '#ChatGPT', '#GPT4', '#GPT3', '#AI', 'https://t.co/tjvTrIEUKS']","['GPT', '-', '4', 'is', 'here', ',', 'what', 'a', 'time', 'to', 'be', 'alive', '.', '#ChatGPT', '#GPT4', '#GPT3', '#AI', 'https://t.co/tjvTrIEUKS']"
1635779968088281089,1635779968088281088,2023-03-15 07:08:30 Malay Peninsula Standard Time,2023-03-15,07:08:30,254736342,長期記憶実装版 #ChatGPT x #Siri    1枚目 前回の会話履歴を受け取る。これが初めての会話ならば長期記憶領域gistファイルから会話履歴を受け取る 2枚目 summaryという変数に会話履歴を格納 3枚目 会話履歴とユーザーの質問をAPIに投げて回答JSONを得る。回答JSONからいつもの流れで回答contentを得る  https://t.co/iJ1K7lM9dt,ja,"['chatgpt', 'siri']",[],"['長期記憶実装版', '#ChatGPT', 'x', '#Siri', '1枚目', '前回の会話履歴を受け取る', '。', 'これが初めての会話ならば長期記憶領域gistファイルから会話履歴を受け取る', '2枚目', 'summaryという変数に会話履歴を格納', '3枚目', '会話履歴とユーザーの質問をAPIに投げて回答JSONを得る', '。', '回答JSONからいつもの流れで回答contentを得る', 'https://t.co/iJ1K7lM9dt']","['Long-term memory version', '#ChatGPT', 'x', '#Siri', '1st Picture', 'Receive your last conversation history', '。', 'If this is your first conversation, receive the conversation history from the GIST file in the long-term storage area', 'Second', 'Storing conversation history in a variable called summary', 'Third', 'Throw conversation history and user questions to API to get answer JSON', '。', 'Get answer content from answer JSON in the usual flow']"
1635779952929918977,1635779952929918976,2023-03-15 07:08:26 Malay Peninsula Standard Time,2023-03-15,07:08:26,218466667,"Sistema DALL-E desde ChatGPT4Win 5.0,  https://t.co/P53bHIqvgC #chatGPT #IA  https://t.co/9BESU1N5h1",cy,"['chatgpt', 'ia']",[],"['Sistema', 'DALL-E', 'desde', 'ChatGPT', '4Win', '5.0', ',', 'https://t.co/P53bHIqvgC', '#chatGPT', '#IA', 'https://t.co/9BESU1N5h1']","['System', 'DALL-E', 'since', 'ChatGPT', '4Win', '5.0', ',', '#chatGPT', '#IA']"
1635779926623150080,1635779926623150080,2023-03-15 07:08:20 Malay Peninsula Standard Time,2023-03-15,07:08:20,1557571178109321217,Unas Fotos Melas Para El #outfit   https://t.co/W6xwxuI70D  #JUNGKOOK #selfie #Photograpy #Oscars #thegpmen #cute #Nuevoloock #photo #naturalwomen #SetMeFree_Pt2 #TheLastOfUs #COVID19 #kivanctatlitug #otriangulotvi #lluvias #DomingoEspetacular #ESTADOS #ChatGPT #ChatGPT账号  https://t.co/mqfORXIB7G,es,"['outfit', 'jungkook', 'selfie', 'photograpy', 'oscars', 'thegpmen', 'cute', 'nuevoloock', 'photo', 'naturalwomen', 'setmefree_pt2', 'thelastofus', 'covid19', 'kivanctatlitug', 'otriangulotvi', 'lluvias', 'domingoespetacular', 'estados', 'chatgpt', 'chatgpt账号']",[],"['Unas', 'Fotos', 'Melas', 'Para', 'El', '#outfit', 'https://t.co/W6xwxuI70D', '#JUNGKOOK', '#selfie', '#Photograpy', '#Oscars', '#thegpmen', '#cute', '#Nuevoloock', '#photo', '#naturalwomen', '#SetMeFree_Pt2', '#TheLastOfUs', '#COVID19', '#kivanctatlitug', '#otriangulotvi', '#lluvias', '#DomingoEspetacular', '#ESTADOS', '#ChatGPT', '#ChatGPT账号', 'https://t.co/mqfORXIB7G']","['Some', 'Photos', 'Melas', 'For', 'The', '#outfit', '#JUNGKOOK', '#selfie', '#Photograpy', '#Oscars', '#thegpmen', '#cute', '#Nuevoloock', '#photo', '#naturalwomen', '#SetMeFree_Pt2', '#TheLastOfUs', '#COVID19', '#kivanctatlitug', '#otriangulotvi', '#lluvias', '#DomingoEspetacular', '#ESTADOS', '#ChatGPT', '#ChatGPT账号']"
